NIVEL1;NIVEL2;NIVEL3;CATEGORIA;VALOR
BC;Porto Nobre;Vara 1;Banco Vantis;6
SA;Porto Nobre;Vara 6;Banco Vantis;11
VN;Porto Nobre;Vara 3;Banco Aurora;8
SA;Alto Rubro;Vara 2;Banco Aurora;536
IL;Porto Nobre;Vara 5;Banco Meridiano;20
MR;Porto Nobre;Vara 4;Crediluz;147
SA;Barra Limpa;Vara 5;Banco Aurora;16
BC;Pedra Fria;Vara 3;Banco Cordilheira;12
BC;Porto Nobre;Vara 1;Banco Aurora;13
LS;Barra Limpa;Vara 2;Crediluz;29
CV;Porto Nobre;Vara 4;Norvel Crédito;14
CV;Porto Nobre;Vara 4;Crediluz;33
CV;Serra Nova;Vara 3;Banco Aurora;17
VN;Porto Nobre;Vara 1;Banco Meridiano;70
CV;Porto Nobre;Vara 4;Norvel Crédito;53
VN;Porto Nobre;Vara 1;Crediluz;28
VN;Santa Elis;Vara 3;Banco Meridiano;14
PN;Porto Nobre;Vara 1;Banco Aurora;12
LS;Porto Nobre;Vara 2;Banco Aurora;10
SA;Lagoa Azul;Vara 3;Banco Aurora;10
SA;Vila Aurora;Vara 3;Banco Aurora;253
SA;Porto Nobre;Vara 1;Banco Vantis;8
VN;Porto Nobre;Vara 3;Crediluz;17
MR;Porto Nobre;Vara 3;Banco Meridiano;134
SA;Santa Elis;Vara 3;Banco Vantis;12
LS;Alto Rubro;Vara 1;Banco Aurora;10
VN;Serra Nova;Vara 1;Banco Meridiano;14
CV;Porto Nobre;Vara 6;Banco Meridiano;19
LS;Santa Elis;Vara 4;Banco Meridiano;15
SA;Vila Aurora;Vara 1;Banco Solaris;6
SA;Porto Nobre;Vara 2;Banco Meridiano;17
SA;Porto Nobre;Vara 1;Banco Aurora;12
CV;Lagoa Azul;Vara 1;Crediluz;38
SA;Porto Nobre;Vara 3;Banco Aurora;28
CV;Porto Nobre;Vara 2;Banco Meridiano;18
MR;Alto Rubro;Vara 4;Banco Aurora;33
SA;Porto Nobre;Vara 6;Banco Meridiano;14
CV;Porto Nobre;Vara 4;Banco Aurora;49
PN;Porto Nobre;Vara 3;Banco Solaris;9
LS;Porto Nobre;Vara 1;Banco Aurora;8
VN;Porto Nobre;Vara 3;Banco Aurora;8
IL;Porto Nobre;Vara 6;Banco Vantis;8
TB;Porto Nobre;Vara 3;Crediluz;24
SA;Barra Limpa;Vara 2;Banco Solaris;15
SA;Barra Limpa;Vara 5;Banco Meridiano;13
MR;Lagoa Azul;Vara 3;Banco Meridiano;47
MR;Porto Nobre;Vara 1;Banco Aurora;42
IL;Porto Nobre;Vara 1;Banco Cordilheira;8
SA;Porto Nobre;Vara 1;Crediluz;27
SA;Porto Nobre;Vara 2;Banco Solaris;13
CV;Monte Claro do Vale;Vara 1;Banco Aurora;17
CV;Porto Nobre;Vara 6;Banco Aurora;14
TB;Porto Nobre;Vara 5;Banco Meridiano;16
CV;Porto Nobre;Vara 4;Banco Aurora;17
PN;Lagoa Azul;Vara 5;Crediluz;70
SA;Monte Claro do Vale;Vara 6;Banco Aurora;11
CV;Porto Nobre;Vara 1;Banco Aurora;241
VN;Porto Nobre;Vara 6;Banco Meridiano;14
CV;Porto Nobre;Vara 3;Banco Aurora;10
SA;Pedra Fria;Vara 2;Banco Meridiano;10
LS;Porto Nobre;Vara 4;Banco Aurora;15
BC;Porto Nobre;Vara 3;Crediluz;24
VN;Porto Nobre;Vara 1;Banco Meridiano;9
LS;Porto Nobre;Vara 3;Norvel Crédito;11
SA;Serra Nova;Vara 5;Banco Meridiano;14
SA;Porto Nobre;Vara 2;Banco Vantis;8
LS;Barra Limpa;Vara 6;Banco Aurora;10
VN;Santa Elis;Vara 2;Norvel Crédito;14
BC;Porto Nobre;Vara 4;Banco Vantis;18
LS;Vila Aurora;Vara 1;Banco Vantis;10
MR;Monte Claro do Vale;Vara 5;Banco Aurora;35
CV;Lagoa Azul;Vara 1;Banco Meridiano;9
MR;Serra Nova;Vara 2;Banco Meridiano;102
PN;Porto Nobre;Vara 5;Banco Aurora;248
VN;Porto Nobre;Vara 2;Crediluz;32
BC;Porto Nobre;Vara 5;Banco Meridiano;14
CV;Lagoa Azul;Vara 4;Banco Solaris;10
PN;Porto Nobre;Vara 5;Banco Aurora;16
MR;Porto Nobre;Vara 6;Crediluz;122
CV;Porto Nobre;Vara 3;Banco Aurora;13
MR;Porto Nobre;Vara 5;Banco Aurora;59
CV;Porto Nobre;Vara 5;Banco Aurora;236
IL;Vila Aurora;Vara 5;Crediluz;46
TB;Monte Claro do Vale;Vara 3;Banco Aurora;13
MR;Porto Nobre;Vara 3;Norvel Crédito;72
BC;Porto Nobre;Vara 3;Banco Aurora;6
CV;Cruzeiro Novo;Vara 2;Banco Aurora;12
SA;Lagoa Azul;Vara 3;Banco Cordilheira;16
VN;Santa Elis;Vara 6;Banco Aurora;16
SA;Porto Nobre;Vara 1;Crediluz;34
VN;Porto Nobre;Vara 2;Banco Meridiano;9
SA;Pedra Fria;Vara 5;Banco Aurora;14
SA;Porto Nobre;Vara 4;Banco Meridiano;15
SA;Porto Nobre;Vara 1;Banco Aurora;14
PN;Porto Nobre;Vara 2;Banco Meridiano;13
VN;Monte Claro do Vale;Vara 2;Banco Solaris;10
SD;Porto Nobre;Vara 2;Banco Aurora;8
SA;Porto Nobre;Vara 5;Banco Aurora;14
LS;Barra Limpa;Vara 3;Banco Aurora;10
TB;Porto Nobre;Vara 4;Banco Aurora;11
SA;Cruzeiro Novo;Vara 3;Banco Vantis;9
VN;Porto Nobre;Vara 6;Banco Vantis;439
VN;Porto Nobre;Vara 1;Crediluz;18
SA;Monte Claro do Vale;Vara 1;Banco Aurora;11
SA;Porto Nobre;Vara 2;Banco Aurora;15
SA;Monte Claro do Vale;Vara 2;Banco Aurora;7
VN;Porto Nobre;Vara 4;Banco Meridiano;11
CV;Porto Nobre;Vara 5;Banco Vantis;7
SA;Porto Nobre;Vara 4;Crediluz;18
CV;Lagoa Azul;Vara 6;Banco Aurora;12
VN;Barra Limpa;Vara 1;Banco Aurora;12
SA;Porto Nobre;Vara 4;Banco Meridiano;14
SA;Porto Nobre;Vara 4;Crediluz;23
SA;Porto Nobre;Vara 5;Banco Vantis;13
TB;Porto Nobre;Vara 1;Banco Aurora;17
VN;Porto Nobre;Vara 5;Banco Vantis;23
LS;Porto Nobre;Vara 6;Banco Aurora;175
VN;Santa Elis;Vara 1;Banco Meridiano;10
LS;Alto Rubro;Vara 3;Banco Meridiano;13
PN;Porto Nobre;Vara 1;Banco Meridiano;31
PN;Monte Claro do Vale;Vara 5;Banco Vantis;5
IL;Porto Nobre;Vara 5;Banco Aurora;153
LS;Porto Nobre;Vara 1;Banco Solaris;13
BC;Porto Nobre;Vara 1;Banco Solaris;7
CV;Alto Rubro;Vara 1;Banco Aurora;18
LS;Santa Elis;Vara 4;Crediluz;31
LS;Santa Elis;Vara 4;Banco Meridiano;12
VN;Lagoa Azul;Vara 2;Banco Meridiano;93
SA;Porto Nobre;Vara 1;Banco Aurora;17
TB;Porto Nobre;Vara 1;Banco Meridiano;16
VN;Porto Nobre;Vara 4;Banco Meridiano;9
VN;Porto Nobre;Vara 5;Crediluz;26
LS;Vila Aurora;Vara 6;Banco Aurora;125
LS;Barra Limpa;Vara 6;Crediluz;295
SA;Porto Nobre;Vara 5;Banco Solaris;11
IL;Monte Claro do Vale;Vara 5;Banco Meridiano;12
BC;Porto Nobre;Vara 2;Banco Vantis;7
SA;Porto Nobre;Vara 2;Banco Aurora;14
SA;Pedra Fria;Vara 5;Banco Meridiano;9
SA;Porto Nobre;Vara 2;Banco Vantis;9
VN;Monte Claro do Vale;Vara 5;Banco Aurora;13
VN;Lagoa Azul;Vara 6;Banco Aurora;10
SA;Porto Nobre;Vara 6;Banco Solaris;11
CV;Porto Nobre;Vara 4;Banco Vantis;10
SA;Serra Nova;Vara 6;Banco Meridiano;14
CV;Barra Limpa;Vara 6;Banco Aurora;15
SA;Porto Nobre;Vara 3;Norvel Crédito;10
CV;Porto Nobre;Vara 5;Banco Vantis;8
LS;Porto Nobre;Vara 3;Banco Meridiano;11
SA;Porto Nobre;Vara 6;Banco Meridiano;44
SA;Porto Nobre;Vara 5;Banco Aurora;8
LS;Porto Nobre;Vara 2;Crediluz;12
LS;Porto Nobre;Vara 2;Crediluz;17
SA;Lagoa Azul;Vara 5;Banco Vantis;13
PN;Porto Nobre;Vara 1;Banco Aurora;17
SA;Alto Rubro;Vara 6;Banco Aurora;57
TB;Porto Nobre;Vara 5;Banco Cordilheira;9
SA;Pedra Fria;Vara 3;Crediluz;24
CV;Cruzeiro Novo;Vara 5;Banco Cordilheira;20
LS;Porto Nobre;Vara 3;Banco Meridiano;7
LS;Alto Rubro;Vara 2;Crediluz;12
MR;Serra Nova;Vara 4;Norvel Crédito;40
LS;Porto Nobre;Vara 5;Banco Aurora;7
VN;Porto Nobre;Vara 5;Banco Meridiano;14
SD;Porto Nobre;Vara 2;Crediluz;19
PN;Vila Aurora;Vara 4;Banco Vantis;7
CV;Monte Claro do Vale;Vara 6;Banco Aurora;14
CV;Porto Nobre;Vara 5;Banco Aurora;11
MR;Porto Nobre;Vara 3;Banco Solaris;30
CV;Vila Aurora;Vara 2;Banco Aurora;20
TB;Porto Nobre;Vara 1;Banco Aurora;15
VN;Porto Nobre;Vara 5;Banco Aurora;12
VN;Porto Nobre;Vara 3;Crediluz;29
MR;Monte Claro do Vale;Vara 5;Banco Vantis;46
PN;Porto Nobre;Vara 5;Crediluz;21
BC;Cruzeiro Novo;Vara 1;Banco Aurora;11
CV;Porto Nobre;Vara 6;Norvel Crédito;12
BC;Porto Nobre;Vara 2;Banco Aurora;11
TB;Pedra Fria;Vara 2;Banco Vantis;8
SD;Porto Nobre;Vara 6;Banco Meridiano;8
CV;Porto Nobre;Vara 1;Banco Vantis;10
CV;Porto Nobre;Vara 6;Banco Aurora;21
SA;Porto Nobre;Vara 4;Crediluz;17
MR;Monte Claro do Vale;Vara 5;Banco Meridiano;31
VN;Lagoa Azul;Vara 5;Banco Solaris;9
BC;Pedra Fria;Vara 1;Crediluz;26
TB;Vila Aurora;Vara 2;Banco Aurora;31
CV;Porto Nobre;Vara 5;Crediluz;24
SD;Porto Nobre;Vara 5;Norvel Crédito;10
SA;Barra Limpa;Vara 1;Banco Meridiano;28
LS;Porto Nobre;Vara 2;Banco Aurora;22
VN;Barra Limpa;Vara 6;Banco Aurora;15
BC;Cruzeiro Novo;Vara 4;Banco Aurora;8
LS;Porto Nobre;Vara 6;Crediluz;28
SA;Porto Nobre;Vara 5;Banco Aurora;11
SA;Porto Nobre;Vara 4;Banco Solaris;15
BC;Porto Nobre;Vara 2;Banco Aurora;123
CV;Porto Nobre;Vara 4;Banco Vantis;6
CV;Barra Limpa;Vara 6;Banco Meridiano;11
IL;Porto Nobre;Vara 6;Banco Aurora;22
PN;Barra Limpa;Vara 6;Banco Aurora;18
IL;Porto Nobre;Vara 3;Norvel Crédito;19
VN;Santa Elis;Vara 6;Banco Meridiano;24
SD;Lagoa Azul;Vara 6;Crediluz;18
SA;Serra Nova;Vara 5;Banco Solaris;215
IL;Porto Nobre;Vara 3;Banco Meridiano;54
SA;Porto Nobre;Vara 1;Banco Meridiano;9
CV;Cruzeiro Novo;Vara 2;Banco Vantis;177
VN;Porto Nobre;Vara 1;Banco Aurora;13
VN;Porto Nobre;Vara 2;Banco Meridiano;12
SA;Porto Nobre;Vara 5;Banco Vantis;209
LS;Porto Nobre;Vara 2;Banco Aurora;14
BC;Porto Nobre;Vara 4;Banco Aurora;10
MR;Porto Nobre;Vara 3;Banco Solaris;61
VN;Vila Aurora;Vara 5;Banco Meridiano;15
CV;Barra Limpa;Vara 5;Crediluz;39
TB;Vila Aurora;Vara 2;Banco Meridiano;8
LS;Porto Nobre;Vara 3;Banco Aurora;13
VN;Porto Nobre;Vara 2;Banco Meridiano;14
SA;Cruzeiro Novo;Vara 4;Banco Vantis;11
SA;Vila Aurora;Vara 4;Banco Vantis;5
LS;Porto Nobre;Vara 5;Banco Meridiano;10
SA;Porto Nobre;Vara 4;Banco Aurora;257
LS;Porto Nobre;Vara 3;Banco Aurora;214
CV;Vila Aurora;Vara 1;Banco Aurora;19
MR;Lagoa Azul;Vara 4;Banco Aurora;45
SA;Porto Nobre;Vara 4;Banco Aurora;10
CV;Serra Nova;Vara 4;Banco Aurora;53
VN;Porto Nobre;Vara 2;Banco Meridiano;7
CV;Porto Nobre;Vara 3;Banco Aurora;9
CV;Porto Nobre;Vara 2;Banco Solaris;13
VN;Porto Nobre;Vara 1;Banco Meridiano;40
SA;Porto Nobre;Vara 6;Crediluz;24
CV;Porto Nobre;Vara 6;Crediluz;29
VN;Porto Nobre;Vara 4;Banco Aurora;34
MR;Porto Nobre;Vara 4;Banco Meridiano;37
CV;Porto Nobre;Vara 3;Banco Aurora;21
PN;Monte Claro do Vale;Vara 2;Norvel Crédito;10
LS;Pedra Fria;Vara 4;Crediluz;24
VN;Porto Nobre;Vara 6;Banco Aurora;13
SD;Porto Nobre;Vara 4;Banco Meridiano;9
TB;Porto Nobre;Vara 5;Banco Meridiano;15
CV;Porto Nobre;Vara 3;Banco Aurora;20
VN;Porto Nobre;Vara 4;Banco Vantis;28
SA;Barra Limpa;Vara 6;Norvel Crédito;19
SA;Porto Nobre;Vara 3;Banco Aurora;10
MR;Barra Limpa;Vara 4;Banco Aurora;36
BC;Porto Nobre;Vara 1;Banco Meridiano;5
LS;Porto Nobre;Vara 6;Banco Aurora;11
VN;Cruzeiro Novo;Vara 2;Banco Cordilheira;16
TB;Santa Elis;Vara 4;Banco Aurora;36
SA;Porto Nobre;Vara 2;Banco Meridiano;8
SA;Porto Nobre;Vara 5;Banco Meridiano;10
TB;Porto Nobre;Vara 1;Banco Meridiano;10
VN;Porto Nobre;Vara 3;Banco Aurora;15
CV;Porto Nobre;Vara 1;Crediluz;37
SA;Porto Nobre;Vara 2;Banco Vantis;13
SA;Monte Claro do Vale;Vara 3;Banco Aurora;12
MR;Porto Nobre;Vara 4;Banco Solaris;28
TB;Lagoa Azul;Vara 4;Banco Aurora;15
SD;Porto Nobre;Vara 5;Banco Vantis;11
SA;Porto Nobre;Vara 3;Crediluz;23
PN;Porto Nobre;Vara 6;Banco Aurora;9
VN;Monte Claro do Vale;Vara 2;Banco Aurora;112
LS;Porto Nobre;Vara 4;Banco Vantis;11
MR;Cruzeiro Novo;Vara 3;Banco Aurora;32
PN;Barra Limpa;Vara 2;Banco Aurora;13
SA;Porto Nobre;Vara 5;Banco Aurora;14
LS;Vila Aurora;Vara 6;Banco Meridiano;15
SA;Cruzeiro Novo;Vara 4;Banco Aurora;13
LS;Porto Nobre;Vara 2;Banco Aurora;14
SA;Alto Rubro;Vara 5;Banco Meridiano;56
LS;Porto Nobre;Vara 6;Banco Aurora;13
BC;Pedra Fria;Vara 2;Banco Aurora;8
SA;Porto Nobre;Vara 6;Banco Vantis;8
CV;Porto Nobre;Vara 5;Banco Aurora;17
SA;Porto Nobre;Vara 5;Banco Meridiano;9
VN;Porto Nobre;Vara 6;Banco Aurora;10
SA;Vila Aurora;Vara 6;Norvel Crédito;11
IL;Porto Nobre;Vara 3;Banco Solaris;18
CV;Porto Nobre;Vara 1;Banco Meridiano;12
CV;Lagoa Azul;Vara 5;Banco Aurora;8
VN;Serra Nova;Vara 6;Banco Vantis;22
SD;Serra Nova;Vara 4;Banco Meridiano;17
VN;Pedra Fria;Vara 4;Banco Aurora;143
CV;Porto Nobre;Vara 1;Banco Aurora;45
VN;Santa Elis;Vara 4;Banco Aurora;10
IL;Alto Rubro;Vara 1;Banco Meridiano;17
PN;Cruzeiro Novo;Vara 3;Banco Solaris;13
PN;Alto Rubro;Vara 6;Crediluz;39
CV;Lagoa Azul;Vara 1;Crediluz;25
VN;Porto Nobre;Vara 4;Banco Vantis;31
SD;Porto Nobre;Vara 3;Crediluz;26
VN;Monte Claro do Vale;Vara 1;Crediluz;55
LS;Porto Nobre;Vara 3;Banco Vantis;9
IL;Porto Nobre;Vara 2;Banco Meridiano;17
VN;Porto Nobre;Vara 1;Banco Aurora;9
PN;Porto Nobre;Vara 2;Banco Meridiano;9
LS;Porto Nobre;Vara 5;Norvel Crédito;15
CV;Porto Nobre;Vara 5;Banco Vantis;41
LS;Monte Claro do Vale;Vara 2;Banco Vantis;8
CV;Pedra Fria;Vara 1;Banco Aurora;14
IL;Porto Nobre;Vara 5;Banco Aurora;15
LS;Vila Aurora;Vara 6;Banco Vantis;8
TB;Porto Nobre;Vara 5;Banco Meridiano;18
LS;Porto Nobre;Vara 4;Banco Cordilheira;14
VN;Serra Nova;Vara 3;Banco Meridiano;25
LS;Porto Nobre;Vara 6;Banco Aurora;15
SA;Porto Nobre;Vara 2;Banco Aurora;42
VN;Porto Nobre;Vara 3;Norvel Crédito;8
VN;Porto Nobre;Vara 5;Banco Aurora;9
PN;Porto Nobre;Vara 1;Banco Meridiano;133
SA;Porto Nobre;Vara 3;Banco Solaris;12
LS;Pedra Fria;Vara 6;Banco Vantis;5
TB;Porto Nobre;Vara 1;Banco Aurora;9
SA;Porto Nobre;Vara 6;Banco Meridiano;9
LS;Porto Nobre;Vara 6;Crediluz;28
SA;Porto Nobre;Vara 1;Banco Meridiano;16
VN;Barra Limpa;Vara 2;Banco Meridiano;45
IL;Porto Nobre;Vara 2;Crediluz;425
IL;Porto Nobre;Vara 4;Banco Aurora;10
PN;Porto Nobre;Vara 2;Banco Vantis;9
LS;Cruzeiro Novo;Vara 3;Crediluz;17
CV;Alto Rubro;Vara 2;Banco Aurora;20
PN;Pedra Fria;Vara 2;Banco Meridiano;11
VN;Porto Nobre;Vara 5;Banco Solaris;14
SA;Monte Claro do Vale;Vara 1;Crediluz;18
PN;Cruzeiro Novo;Vara 3;Banco Aurora;7
MR;Porto Nobre;Vara 2;Banco Aurora;37
CV;Cruzeiro Novo;Vara 6;Banco Aurora;16
SA;Porto Nobre;Vara 3;Banco Aurora;12
LS;Porto Nobre;Vara 4;Banco Aurora;11
PN;Porto Nobre;Vara 2;Banco Aurora;9
LS;Serra Nova;Vara 2;Banco Meridiano;12
VN;Porto Nobre;Vara 6;Banco Aurora;13
SA;Porto Nobre;Vara 2;Banco Aurora;12
MR;Monte Claro do Vale;Vara 1;Banco Vantis;53
SD;Lagoa Azul;Vara 5;Banco Meridiano;10
LS;Pedra Fria;Vara 4;Banco Aurora;15
SA;Monte Claro do Vale;Vara 3;Banco Solaris;13
LS;Porto Nobre;Vara 3;Banco Aurora;13
SA;Porto Nobre;Vara 6;Banco Meridiano;13
VN;Porto Nobre;Vara 5;Banco Vantis;22
VN;Cruzeiro Novo;Vara 6;Banco Meridiano;11
PN;Porto Nobre;Vara 6;Banco Aurora;15
SA;Porto Nobre;Vara 5;Crediluz;33
SA;Pedra Fria;Vara 4;Banco Aurora;17
TB;Porto Nobre;Vara 4;Banco Aurora;12
VN;Porto Nobre;Vara 2;Banco Solaris;9
VN;Porto Nobre;Vara 3;Banco Aurora;6
LS;Porto Nobre;Vara 6;Banco Meridiano;7
SA;Porto Nobre;Vara 3;Banco Meridiano;11
VN;Porto Nobre;Vara 5;Banco Solaris;6
LS;Porto Nobre;Vara 5;Banco Meridiano;10
SA;Alto Rubro;Vara 4;Banco Aurora;50
TB;Serra Nova;Vara 5;Banco Meridiano;34
CV;Pedra Fria;Vara 5;Crediluz;24
MR;Porto Nobre;Vara 5;Banco Aurora;138
SA;Lagoa Azul;Vara 3;Banco Aurora;13
IL;Barra Limpa;Vara 4;Banco Vantis;9
SA;Porto Nobre;Vara 2;Banco Solaris;14
TB;Monte Claro do Vale;Vara 3;Banco Solaris;15
PN;Porto Nobre;Vara 5;Banco Solaris;15
SA;Santa Elis;Vara 4;Banco Aurora;15
PN;Porto Nobre;Vara 5;Banco Aurora;14
MR;Porto Nobre;Vara 5;Crediluz;117
LS;Porto Nobre;Vara 4;Banco Vantis;6
PN;Porto Nobre;Vara 2;Banco Solaris;16
PN;Porto Nobre;Vara 1;Banco Aurora;8
PN;Barra Limpa;Vara 4;Banco Solaris;8
VN;Monte Claro do Vale;Vara 5;Banco Aurora;7
SA;Serra Nova;Vara 4;Banco Meridiano;15
SA;Porto Nobre;Vara 4;Crediluz;14
CV;Porto Nobre;Vara 4;Banco Aurora;116
VN;Porto Nobre;Vara 3;Banco Aurora;8
VN;Porto Nobre;Vara 2;Banco Vantis;395
PN;Porto Nobre;Vara 6;Banco Meridiano;11
LS;Porto Nobre;Vara 1;Banco Vantis;8
CV;Cruzeiro Novo;Vara 2;Banco Solaris;32
PN;Porto Nobre;Vara 4;Banco Aurora;17
SA;Porto Nobre;Vara 1;Banco Solaris;9
TB;Porto Nobre;Vara 3;Banco Meridiano;201
SA;Barra Limpa;Vara 3;Banco Meridiano;31
CV;Porto Nobre;Vara 5;Banco Vantis;8
VN;Porto Nobre;Vara 5;Banco Solaris;9
CV;Porto Nobre;Vara 5;Banco Aurora;265
SA;Porto Nobre;Vara 3;Banco Aurora;11
BC;Serra Nova;Vara 1;Banco Aurora;11
PN;Serra Nova;Vara 6;Crediluz;25
VN;Serra Nova;Vara 4;Banco Aurora;11
SA;Pedra Fria;Vara 1;Banco Aurora;8
LS;Porto Nobre;Vara 4;Banco Vantis;11
LS;Porto Nobre;Vara 1;Banco Meridiano;10
PN;Monte Claro do Vale;Vara 4;Crediluz;18
PN;Serra Nova;Vara 3;Banco Meridiano;10
PN;Porto Nobre;Vara 2;Banco Meridiano;14
CV;Porto Nobre;Vara 6;Crediluz;534
LS;Porto Nobre;Vara 1;Banco Meridiano;16
CV;Porto Nobre;Vara 4;Banco Meridiano;31
IL;Porto Nobre;Vara 6;Banco Vantis;12
SA;Porto Nobre;Vara 3;Banco Aurora;8
BC;Alto Rubro;Vara 2;Banco Meridiano;9
TB;Vila Aurora;Vara 6;Banco Aurora;10
VN;Porto Nobre;Vara 5;Banco Vantis;27
SA;Alto Rubro;Vara 2;Banco Meridiano;27
VN;Vila Aurora;Vara 1;Banco Vantis;26
MR;Barra Limpa;Vara 5;Banco Vantis;50
LS;Santa Elis;Vara 2;Banco Meridiano;10
LS;Porto Nobre;Vara 1;Banco Aurora;9
SD;Pedra Fria;Vara 6;Banco Meridiano;9
VN;Barra Limpa;Vara 4;Banco Vantis;12
VN;Alto Rubro;Vara 1;Banco Vantis;15
SA;Lagoa Azul;Vara 6;Crediluz;16
SA;Porto Nobre;Vara 3;Banco Solaris;11
VN;Barra Limpa;Vara 4;Banco Meridiano;16
PN;Porto Nobre;Vara 3;Banco Aurora;15
SA;Vila Aurora;Vara 6;Banco Vantis;12
VN;Porto Nobre;Vara 4;Banco Meridiano;10
PN;Porto Nobre;Vara 4;Banco Solaris;11
IL;Porto Nobre;Vara 2;Banco Meridiano;11
TB;Porto Nobre;Vara 1;Crediluz;36
VN;Barra Limpa;Vara 3;Banco Meridiano;16
PN;Santa Elis;Vara 5;Banco Meridiano;53
BC;Porto Nobre;Vara 5;Banco Meridiano;13
SD;Barra Limpa;Vara 1;Banco Cordilheira;12
VN;Porto Nobre;Vara 5;Banco Solaris;8
SA;Porto Nobre;Vara 4;Banco Meridiano;8
SA;Porto Nobre;Vara 5;Crediluz;29
SA;Vila Aurora;Vara 1;Banco Aurora;11
TB;Vila Aurora;Vara 3;Banco Aurora;8
SA;Porto Nobre;Vara 5;Banco Aurora;13
IL;Santa Elis;Vara 2;Banco Aurora;18
PN;Vila Aurora;Vara 5;Banco Aurora;14
MR;Porto Nobre;Vara 6;Banco Solaris;61
SA;Porto Nobre;Vara 1;Banco Solaris;7
IL;Monte Claro do Vale;Vara 1;Banco Vantis;13
LS;Porto Nobre;Vara 5;Banco Meridiano;40
LS;Vila Aurora;Vara 6;Banco Vantis;8
TB;Santa Elis;Vara 2;Banco Aurora;11
VN;Porto Nobre;Vara 5;Banco Meridiano;8
IL;Porto Nobre;Vara 4;Banco Aurora;34
VN;Porto Nobre;Vara 1;Banco Solaris;9
SA;Porto Nobre;Vara 5;Banco Vantis;6
CV;Porto Nobre;Vara 6;Crediluz;22
IL;Cruzeiro Novo;Vara 6;Banco Aurora;10
PN;Porto Nobre;Vara 4;Crediluz;22
SA;Porto Nobre;Vara 6;Banco Aurora;14
MR;Cruzeiro Novo;Vara 6;Banco Aurora;40
SA;Porto Nobre;Vara 1;Banco Meridiano;14
BC;Porto Nobre;Vara 1;Banco Meridiano;8
IL;Porto Nobre;Vara 2;Banco Meridiano;22
VN;Porto Nobre;Vara 6;Banco Meridiano;16
VN;Monte Claro do Vale;Vara 6;Banco Aurora;12
SA;Porto Nobre;Vara 3;Banco Solaris;8
SA;Porto Nobre;Vara 6;Banco Aurora;14
LS;Porto Nobre;Vara 6;Banco Meridiano;11
LS;Porto Nobre;Vara 3;Banco Vantis;7
SA;Cruzeiro Novo;Vara 3;Banco Solaris;6
CV;Porto Nobre;Vara 2;Banco Meridiano;14
VN;Porto Nobre;Vara 6;Banco Vantis;16
VN;Vila Aurora;Vara 4;Banco Aurora;7
BC;Porto Nobre;Vara 4;Crediluz;22
MR;Lagoa Azul;Vara 2;Crediluz;138
LS;Serra Nova;Vara 2;Banco Solaris;5
SA;Porto Nobre;Vara 6;Banco Solaris;12
SA;Lagoa Azul;Vara 3;Banco Aurora;7
VN;Porto Nobre;Vara 6;Banco Aurora;15
SA;Porto Nobre;Vara 6;Banco Aurora;8
TB;Porto Nobre;Vara 5;Banco Aurora;16
TB;Monte Claro do Vale;Vara 6;Banco Aurora;11
VN;Porto Nobre;Vara 6;Norvel Crédito;16
SA;Serra Nova;Vara 1;Banco Aurora;13
SA;Porto Nobre;Vara 4;Banco Solaris;7
CV;Cruzeiro Novo;Vara 2;Banco Meridiano;8
VN;Porto Nobre;Vara 6;Banco Solaris;11
VN;Monte Claro do Vale;Vara 6;Banco Meridiano;14
VN;Monte Claro do Vale;Vara 4;Banco Meridiano;12
CV;Porto Nobre;Vara 5;Banco Solaris;10
SA;Porto Nobre;Vara 5;Banco Meridiano;19
LS;Barra Limpa;Vara 3;Banco Meridiano;15
SD;Porto Nobre;Vara 2;Banco Meridiano;15
LS;Vila Aurora;Vara 6;Banco Aurora;10
SA;Porto Nobre;Vara 4;Banco Meridiano;11
SA;Porto Nobre;Vara 4;Banco Vantis;7
VN;Porto Nobre;Vara 2;Banco Aurora;14
BC;Vila Aurora;Vara 1;Banco Meridiano;6
MR;Vila Aurora;Vara 3;Banco Aurora;38
SA;Porto Nobre;Vara 6;Crediluz;25
SA;Porto Nobre;Vara 4;Banco Aurora;11
TB;Porto Nobre;Vara 4;Banco Meridiano;179
VN;Pedra Fria;Vara 2;Banco Meridiano;9
TB;Santa Elis;Vara 4;Banco Aurora;8
VN;Pedra Fria;Vara 3;Banco Aurora;7
SA;Vila Aurora;Vara 6;Banco Vantis;28
SA;Porto Nobre;Vara 1;Banco Aurora;16
CV;Porto Nobre;Vara 4;Banco Aurora;20
VN;Porto Nobre;Vara 1;Banco Meridiano;14
SA;Porto Nobre;Vara 6;Banco Meridiano;13
IL;Porto Nobre;Vara 5;Banco Meridiano;14
VN;Porto Nobre;Vara 6;Crediluz;14
LS;Monte Claro do Vale;Vara 4;Banco Vantis;11
SA;Porto Nobre;Vara 2;Banco Aurora;10
TB;Porto Nobre;Vara 2;Banco Vantis;6
VN;Vila Aurora;Vara 3;Norvel Crédito;7
BC;Vila Aurora;Vara 3;Banco Vantis;10
LS;Santa Elis;Vara 4;Banco Solaris;10
CV;Porto Nobre;Vara 6;Banco Aurora;13
SA;Lagoa Azul;Vara 6;Banco Aurora;39
SA;Porto Nobre;Vara 3;Banco Meridiano;107
TB;Porto Nobre;Vara 6;Banco Aurora;11
MR;Pedra Fria;Vara 1;Crediluz;93
